,title,genre_ids
7171,apachejunction,"37,28,80"
6242,apachesgangofparis,"18,53"
4011,aparajito,18
2700,apartment,"35,18,10749"
1812,apartment7a,"27,53"
6141,apevsmechaape,"28,878"
7484,apevsmonster,"878,28,12"
6987,apex,"28,53,878"
1066,apocalypsenow,"18,10752"
266,apocalypsezthebegi,"18,28,27"
4395,apocalypto,"28,18,36"
6940,apollo1012aspaceag,"16,35,878,18,14"
8721,apollo11,"99,36,18"
2298,apollo13,"18,36"
7603,apostle,"27,9648"
8531,app,"18,878"
5657,appaloosa,"18,37,80"
6998,appearances,"53,18,80"
2968,appendage,27
6129,appointmentwithdea,"53,80,9648,18"
467,apprentice,"36,18"
10174,apprenticeyourefir,10764
3899,aprile,35
2684,aptpupil,"18,53"
1281,aquamanandthelostk,"28,12,14"
2778,aquamarine,"14,10749,10751,35"
8998,aquaslash,"27,35"
8668,arabblues,"35,18"
2484,arbitrage,"18,53"
416,arcadian,"28,27,53,878"
8059,archenemy,"28,53,80,878"
7906,archive,"878,18,14,53"
3045,arctic,"18,12"
8978,arcticapocalypse,"28,878"
8846,arcticdogs,"16,12,35"
3702,arena,"28,53,878"
10017,arenawithkasiehunt,
1461,arewegood,99
5783,arewethereyet,"10751,12,35,10749"
421,areyouhere,35
4521,areyoutheregoditsm,"35,18"
6578,argentina1985,"18,36,80"
1801,argo,"18,53"
1192,argoat,99
1804,argylle,"28,12,35,53"
7666,arianagrandeexcuse,"10402,99"
521,ariel,"35,18,10749,80"
3431,arifv216,"12,35,878"
2896,aristocats,"16,35,10751,12"
9691,arizona,"35,53"
2455,arizonadream,"14,35,18,10749"
8166,arkansas,"80,53,28,9648"
9514,armadillosprophecy,"35,18"
713,armageddon,"28,53,878,12"
6581,armageddontime,18
570,armor,"28,80,53,18"
2666,armyofcrime,"10752,18,36"
3420,armyofdarkness,"14,27,35"
7669,armyofone,28
4771,armyofthedead,"28,80,27,12,18,878,53,10752"
4736,armyofthieves,"28,80,35"
3387,arog,"878,14,35"
343,arrestthemidwife,99
1075,arrival,"18,878,9648"
5947,arsenelupin,"10749,28,12,80,9648"
5295,arsenicandoldlace,"35,80"
150,artattackthedissec,99
7954,artemisfowl,"12,14,878,10751,28"
3779,arthur3thewarofthe,"16,12,14,10751"
